win_loss_perc_home,points_home,points_opp_home,points_diff_home,mov_home,totalyards_home,plays_offense_home,yds_per_play_offense_home,turnovers_home,fumbles_lost_home,first_down_home,pass_cmp_home,pass_att_home,passyds_home,pass_td_home,pass_int_home,pass_netyds_per_att_home,pass_fd_home,rush_att_home,rushyds_home,rush_td_home,rushyds_per_att_home,rush_fd_home,penalties_home,penaltiesyds_home,pen_fd_home,score_pct_home,turnover_pct_home,exp_pts_tot_home,comp_pct_home,win_loss_perc_away,points_away,points_opp_away,points_diff_away,mov_away,totalyards_away,plays_offense_away,yds_per_play_offense_away,turnovers_away,fumbles_lost_away,first_down_away,pass_cmp_away,pass_att_away,passyds_away,pass_td_away,pass_int_away,pass_netyds_per_att_away,pass_fd_away,rush_att_away,rushyds_away,rush_td_away,rushyds_per_att_away,rush_fd_away,penalties_away,penaltiesyds_away,pen_fd_away,score_pct_away,turnover_pct_away,exp_pts_tot_away,ties_away,comp_pct_away,score_home,score_away,spread_favorite,over_under_line,stadium_weather_type,home_fav,home_win
0.563,25.125,20.6875,71,4.4375,362.8125,59.3125,6.1,1.0625,0.5625,19.8125,18.5625,28.0,223.875,1.8125,0.5,0.44375,11.0625,27.8125,138.9375,1.3125,0.3125,6.5,6.1875,58.25,2.25,31.4,8.6,7.2425,0.6629464285714286,0.438,22.5625,23.3125,-12,-0.75,327.375,63.5,5.2,1.3125,0.6875,21.25,19.1875,32.0625,194.25,1.375,0.625,0.35625,10.3125,29.4375,133.125,1.0625,0.28125,8.1875,4.9375,41.875,2.75,36.3,11.3,4.675,0.0,0.5984405458089669,17,31,-1.0,41.5,indoor,True,False
0.294,16.88235294117647,21.11764705882353,-72,-4.235294117647059,325.11764705882354,63.411764705882355,5.1,1.411764705882353,0.5294117647058824,17.647058823529413,20.294117647058822,33.588235294117645,211.2941176470588,1.0588235294117647,0.8823529411764706,0.33529411764705885,9.764705882352942,26.11764705882353,113.82352941176471,0.6470588235294118,0.25882352941176473,6.176470588235294,6.647058823529412,57.05882352941177,1.7058823529411764,28.6,10.6,-2.448235294117647,0.6042031523642732,0.412,20.41176470588235,22.0,-27,-1.588235294117647,306.2352941176471,57.411764705882355,5.3,1.2352941176470589,0.47058823529411764,16.529411764705884,15.705882352941176,26.88235294117647,176.23529411764707,0.9411764705882353,0.7647058823529411,0.3588235294117647,8.117647058823529,28.41176470588235,130.0,0.9411764705882353,0.27058823529411763,7.0,6.117647058823529,50.705882352941174,1.411764705882353,35.3,9.6,-0.2976470588235294,0.0,0.5842450765864332,23,10,-1.0,36.0,moderate,True,True
0.412,17.529411764705884,21.11764705882353,-61,-3.588235294117647,296.7647058823529,58.35294117647059,5.1,1.3529411764705883,0.7058823529411765,16.294117647058822,16.764705882352942,26.823529411764707,171.41176470588235,0.9411764705882353,0.6470588235294118,0.3411764705882353,9.0,28.647058823529413,125.3529411764706,0.9411764705882353,0.25882352941176473,6.117647058823529,6.529411764705882,56.23529411764706,1.1764705882352942,27.9,10.5,-1.6011764705882352,0.625,0.206,17.0,24.705882352941178,-131,-7.705882352941177,283.52941176470586,59.705882352941174,4.7,1.6470588235294117,0.5294117647058824,16.294117647058822,20.705882352941178,34.05882352941177,196.7058823529412,1.1764705882352942,1.1176470588235294,0.31764705882352945,9.352941176470589,23.41176470588235,86.82352941176471,0.4117647058823529,0.21764705882352942,5.294117647058823,5.176470588235294,37.88235294117647,1.6470588235294117,28.8,13.6,-7.093529411764706,1.0,0.6079447322970639,10,17,-1.0,39.5,indoor,True,False
0.313,21.0625,21.5625,-8,-0.5,367.4375,62.3125,5.9,1.9375,0.6875,21.8125,24.625,37.3125,276.625,1.5,1.25,0.4375,13.75,22.875,90.8125,0.75,0.25,5.625,6.4375,54.5,2.4375,38.8,18.1,5.151875,0.6599664991624791,0.438,19.5625,26.1875,-106,-6.625,363.6875,61.8125,5.9,1.0625,0.5625,19.6875,22.9375,32.6875,245.375,1.375,0.5,0.44375,12.125,27.3125,118.3125,0.8125,0.26875,6.5,8.0,71.125,1.0625,32.7,9.7,4.973125,0.0,0.7017208413001912,26,24,-1.0,49.0,moderate,True,True
0.375,20.9375,24.5625,-58,-3.625,340.9375,60.8125,5.6,1.75,0.4375,19.0625,19.875,33.6875,222.125,1.375,1.3125,0.38125,11.25,24.5625,118.8125,0.9375,0.3,5.625,7.625,69.125,2.1875,33.9,14.8,0.84625,0.5899814471243042,0.5,18.0625,18.9375,-14,-0.875,276.75,58.5625,4.7,1.875,0.6875,16.5625,19.6875,31.875,186.3125,1.125,1.1875,0.34375,9.1875,24.6875,90.4375,0.4375,0.23125,4.6875,6.9375,55.8125,2.6875,28.9,16.0,-5.3475,0.0,0.6176470588235294,20,13,-1.0,40.0,cold,True,True
0.438,23.8125,24.9375,-18,-1.125,379.6875,68.5,5.5,1.5625,0.625,23.9375,28.6875,42.75,294.625,1.8125,0.9375,0.4,16.125,22.625,85.0625,0.625,0.2375,5.25,7.4375,59.75,2.5625,40.8,13.2,5.969375,0.6710526315789473,0.438,28.625,28.0625,9,0.5625,397.875,67.875,5.9,2.5625,0.6875,22.0625,23.875,39.375,302.8125,2.0625,1.875,0.45,15.25,25.5625,95.0625,0.9375,0.23125,5.0625,8.3125,69.4375,1.75,37.9,20.2,2.3125,0.0,0.6063492063492063,22,28,-1.0,48.5,warm,False,False
0.529,23.294117647058822,24.41176470588235,-19,-1.1176470588235294,336.7647058823529,64.3529411764706,5.2,1.2941176470588236,0.7058823529411765,19.058823529411764,20.88235294117647,33.76470588235294,215.64705882352942,1.0588235294117647,0.5882352941176471,0.35294117647058826,10.470588235294118,28.176470588235293,121.11764705882354,1.1176470588235294,0.2529411764705882,6.647058823529412,5.588235294117647,40.294117647058826,1.9411764705882353,35.7,9.2,1.771764705882353,0.6184668989547039,0.353,17.941176470588236,21.58823529411765,-62,-3.6470588235294117,289.0,58.94117647058823,4.9,1.1764705882352942,0.5294117647058824,17.529411764705884,17.88235294117647,29.058823529411764,180.41176470588235,0.8235294117647058,0.6470588235294118,0.3235294117647059,9.294117647058824,26.11764705882353,108.58823529411765,0.9411764705882353,0.24705882352941178,6.0588235294117645,6.470588235294118,51.88235294117647,2.176470588235294,32.6,9.4,0.22470588235294117,0.0,0.6153846153846154,28,31,-1.0,42.0,moderate,True,False
0.294,17.88235294117647,23.764705882352942,-100,-5.882352941176471,298.88235294117646,65.05882352941177,4.6,1.7058823529411764,0.47058823529411764,18.941176470588236,20.470588235294116,35.23529411764706,190.52941176470588,0.8235294117647058,1.2352941176470589,0.29411764705882354,10.235294117647058,26.764705882352942,108.3529411764706,1.0,0.23529411764705882,6.9411764705882355,6.294117647058823,50.8235294117647,1.7647058823529411,29.2,14.9,-5.417647058823529,0.5809682804674458,0.529,20.058823529411764,21.941176470588236,-32,-1.8823529411764706,307.0,64.52941176470588,4.8,1.5294117647058822,0.7058823529411765,19.11764705882353,23.764705882352942,36.1764705882353,214.76470588235293,1.2352941176470589,0.8235294117647058,0.32941176470588235,12.117647058823529,26.0,92.23529411764706,0.7058823529411765,0.20588235294117646,5.117647058823529,6.176470588235294,48.529411764705884,1.8823529411764706,30.1,12.4,-0.703529411764706,0.0,0.656910569105691,33,10,-1.0,41.0,warm,True,True
0.471,22.764705882352942,23.058823529411764,-5,-0.29411764705882354,378.8235294117647,69.70588235294117,5.4,1.5294117647058822,0.47058823529411764,23.176470588235293,23.294117647058822,35.94117647058823,233.0,1.2352941176470589,1.0588235294117647,0.3470588235294118,12.294117647058824,30.41176470588235,145.8235294117647,1.0588235294117647,0.2823529411764706,9.352941176470589,6.0,50.11764705882353,1.5294117647058822,38.5,13.3,3.5100000000000002,0.6481178396072013,0.353,18.294117647058822,23.941176470588236,-96,-5.647058823529412,307.3529411764706,63.23529411764706,4.9,1.7058823529411764,0.5294117647058824,19.58823529411765,19.529411764705884,31.88235294117647,188.64705882352942,0.9411764705882353,1.1764705882352942,0.31176470588235294,10.588235294117647,27.941176470588236,118.70588235294117,0.8235294117647058,0.24705882352941178,7.0,6.235294117647059,54.05882352941177,2.0,31.5,15.2,-2.405294117647059,0.0,0.6125461254612546,13,16,-1.0,40.5,cold,True,False
0.706,24.647058823529413,20.823529411764707,65,3.823529411764706,342.47058823529414,66.6470588235294,5.1,1.4705882352941178,0.6470588235294118,21.294117647058822,21.11764705882353,31.470588235294116,201.05882352941177,1.2941176470588236,0.8235294117647058,0.3470588235294118,11.411764705882353,32.411764705882355,141.41176470588235,1.3529411764705883,0.25882352941176473,7.882352941176471,6.0588235294117645,57.23529411764706,2.0,38.9,13.0,4.658235294117647,0.6710280373831776,0.559,20.176470588235293,23.41176470588235,-55,-3.235294117647059,315.3529411764706,65.47058823529412,4.8,1.1764705882352942,0.5294117647058824,19.0,25.0,39.05882352941177,222.23529411764707,1.3529411764705883,0.6470588235294118,0.31764705882352945,12.0,24.176470588235293,93.11764705882354,0.5882352941176471,0.22941176470588234,5.0,6.235294117647059,48.88235294117647,2.0,34.7,9.5,-0.8523529411764706,1.0,0.6400602409638554,19,13,-1.0,44.0,cold,False,True
